Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/1/2009 7:45,1.25,13085.0,United Kingdom
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/1/2009 9:06,1.69,13078.0,United Kingdom
489442,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2009 9:46,2.95,13635.0,United Kingdom
489446,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2009 10:06,2.55,13758.0,United Kingdom
489460,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/2009 10:46,0.55,16167.0,United Kingdom
489461,21232,STRAWBERRY CERAMIC TRINKET BOX,48,12/1/2009 10:49,1.25,17865.0,United Kingdom
489461,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/2009 10:49,0.55,17865.0,United Kingdom
489465,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/1/2009 10:52,2.55,13767.0,United Kingdom
489465,84879,ASSORTED COLOUR BIRD ORNAMENT,160,12/1/2009 10:52,1.45,13767.0,United Kingdom
489517,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/1/2009 11:34,2.95,16329.0,United Kingdom
489517,21931,JUMBO STORAGE BAG SUKI,1,12/1/2009 11:34,1.95,16329.0,United Kingdom
489519,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2009 11:37,2.55,17700.0,United Kingdom
489522,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/1/2009 11:45,1.69,15998.0,United Kingdom
489523,84879,ASSORTED COLOUR BIRD ORNAMENT,800,12/1/2009 11:46,1.45,12931.0,United Kingdom
489526,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2009 11:50,2.95,12533.0,Germany
489531,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/1/2009 11:57,2.95,14871.0,United Kingdom
489536,21931,JUMBO STORAGE BAG SUKI,5,12/1/2009 12:13,1.95,16393.0,United Kingdom
489536,21232,STRAWBERRY CERAMIC TRINKET BOX,3,12/1/2009 12:13,1.25,16393.0,United Kingdom
489536,20727,LUNCH BAG  BLACK SKULL.,3,12/1/2009 12:13,1.65,16393.0,United Kingdom
489537,21232,STRAWBERRY CERAMIC TRINKET BOX,20,12/1/2009 12:14,1.25,14040.0,United Kingdom
489539,84879,ASSORTED COLOUR BIRD ORNAMENT,96,12/1/2009 12:18,1.69,15061.0,United Kingdom
489546,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/1/2009 12:30,1.25,14156.0,EIRE
489547,20727,LUNCH BAG  BLACK SKULL.,10,12/1/2009 12:30,1.65,13599.0,United Kingdom
489550,84991,60 TEATIME FAIRY CAKE CASES,48,12/1/2009 12:33,0.55,14156.0,EIRE
489556,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/1/2009 12:47,2.95,15719.0,United Kingdom
489558,84879,ASSORTED COLOUR BIRD ORNAMENT,64,12/1/2009 12:54,1.69,15793.0,United Kingdom
489562,47566,PARTY BUNTING,1,12/1/2009 13:07,4.65,17998.0,United Kingdom
489574,21232,STRAWBERRY CERAMIC TRINKET BOX,4,12/1/2009 13:31,1.25,13097.0,United Kingdom
489575,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/1/2009 13:37,1.25,13590.0,United Kingdom
489575,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/2009 13:37,0.55,13590.0,United Kingdom
489576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2009 13:38,2.95,15984.0,United Kingdom
489580,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/1/2009 13:43,1.25,12921.0,United Kingdom
489580,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/2009 13:43,0.55,12921.0,United Kingdom
489585,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/1/2009 13:49,1.69,15662.0,United Kingdom
489590,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2009 14:14,2.95,13110.0,United Kingdom
489593,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/1/2009 14:19,1.69,12836.0,United Kingdom
489594,21931,JUMBO STORAGE BAG SUKI,2,12/1/2009 14:19,1.95,15005.0,United Kingdom
489594,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/1/2009 14:19,1.25,15005.0,United Kingdom
489597,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/1/2009 14:28,2.57,,United Kingdom
489597,21931,JUMBO STORAGE BAG SUKI,1,12/1/2009 14:28,4.3,,United Kingdom
489597,84991,60 TEATIME FAIRY CAKE CASES,5,12/1/2009 14:28,1.3,,United Kingdom
489597,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/1/2009 14:28,6.04,,United Kingdom
489599,21931,JUMBO STORAGE BAG SUKI,20,12/1/2009 14:40,1.95,12758.0,Portugal
489599,84879,ASSORTED COLOUR BIRD ORNAMENT,48,12/1/2009 14:40,1.69,12758.0,Portugal
C489610,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,12/1/2009 14:52,2.95,17485.0,United Kingdom
489614,21931,JUMBO STORAGE BAG SUKI,1,12/1/2009 14:56,4.3,,United Kingdom
489619,21931,JUMBO STORAGE BAG SUKI,2,12/1/2009 15:02,1.95,,United Kingdom
489635,47566,PARTY BUNTING,5,12/1/2009 15:26,4.65,16763.0,United Kingdom
489635,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/1/2009 15:26,1.25,16763.0,United Kingdom
489641,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2009 16:18,2.95,13819.0,United Kingdom
489641,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/2009 16:18,0.55,13819.0,United Kingdom
489641,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/1/2009 16:18,1.25,13819.0,United Kingdom
489641,20727,LUNCH BAG  BLACK SKULL.,10,12/1/2009 16:18,1.65,13819.0,United Kingdom
489642,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/1/2009 16:19,2.95,,United Kingdom
489645,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/1/2009 16:34,2.95,17191.0,United Kingdom
489652,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/1/2009 17:08,1.69,15265.0,United Kingdom
489654,21931,JUMBO STORAGE BAG SUKI,3,12/1/2009 17:19,1.95,15750.0,United Kingdom
489656,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2009 17:28,2.55,17428.0,United Kingdom
489656,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/1/2009 17:28,1.69,17428.0,United Kingdom
489665,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/1/2009 18:07,2.95,14108.0,United Kingdom
489666,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/1/2009 18:13,2.95,13648.0,United Kingdom
489667,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/1/2009 18:35,1.69,16563.0,United Kingdom
489667,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2009 18:35,2.55,16563.0,United Kingdom
489672,84991,60 TEATIME FAIRY CAKE CASES,72,12/2/2009 9:21,0.55,14831.0,United Kingdom
489674,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2009 9:35,2.95,15602.0,United Kingdom
489675,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/2/2009 9:47,2.55,13777.0,United Kingdom
489675,20727,LUNCH BAG  BLACK SKULL.,50,12/2/2009 9:47,1.45,13777.0,United Kingdom
489679,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/2/2009 10:00,1.69,16163.0,United Kingdom
